title,label
Сборная России по футболу начнет играть на ЧМ по хоккею,1
Ввод в строй очереди в Новосибирске перенесён в осень,1
В СМИ сообщили о новом сроке ввода аэропорта в эксплуатацию,1
Сроки в «Квартале Европейский» перенесены не первый раз,1
В Твери планируют построить новый участок Тверской трассы,1
"Эксперт рассказал, почему новый запрос регулятора в США может вызвать задержку в реализации",1
В Москве дольщики рассказали о срыве срока строительства жилого дома,1
"В Единой реестре строителей заявили, что они сдают дома",1
В Нижеградской области ввели в эксплуатацию школу нового типа,1
В Васильково введено в эксплуатацию по итогам июня 2015 года,1
Срок ввода домов в Троицкий административный округ продлен до 1 мая,1
В Шереметьеве назвали дату ввода в эксплуатацию более поздной,1
"""Киров Плазмы"" продлили статус ""Единого поставщика"" в 2019 году",1
В Твери планируют построить второй участок Тверской трассы,1
В Чкаловском районе за год не было сдавать в эксплуатацию крышу,1
В Барнаулском районе дольщики пожаловались на срыв строительства жилого дома,1
Возведение двух домов No6 и No55 до сих пор не завершено,1
В Ленобласти назвали причину закрытия двух заводов для производства метанола,1
Введена в эксплуатацию очередная очереди,1
Застройщик рассказала о задержке сроков стройки после смерти главного учредителя,1
"ООО «ВиС Инфраструктуры» стала первой компанией, которую должно было сделать",1
В Счетной палате рассказали о причинах срыва,1
Директора лицея рассказали о задержке ремонта,1
ЖК «звезда» от строительной корпорации «Элис» возвращается в эксплуатацию,1
В Счетной палате рассказали о причинах срыва срока срока срока срока срока срока срока срока срока срока срока срока с,1
Введен в эксплуатацию жилой дом и подземная автостоянка,1
В Новосибирской области покупатель квартиры получил неустойку за квартиру в двухкомнатной квартире,1
В Дубровке и Перепечино не расселены семьи,1
"Некоторые объекты завершены, но объекты не смогут быть выполнены.",1
Балтийский ледокомбинат вновь не выдержал сроков сдачи,1
В Красноярске завершится строительство Всемирного зимнего универсиада,1
«Норман» и «Норнана» столкнулись с серьезными задержками сроков введения жилых помещений,1
"Застройщик рассказал, почему задержка срока строительства была связана с смертью главного учредителя",1
"ЖК ""Звезда"" от компании ""Строительная корпорация Элис"" вновь открывается",1
Застройщики предупредили о задержках в сдаче жилья,1
«Срок ввода в строй вышеупомянутой ГРЭС уменьшился»,1
Школа Нижегородского района введена в эксплуатацию,1
В строительной компании рассказали о причинах задержки,1
В Лондоне ожидается завершение строительства Crossrail,1
Петербургский госстройнадзор выпустил разрешение на строительство последнего долгосрочного строительства,1
Сроки перенесения сроков не повлияют на задержку ввода в эксплуатацию домов,1
В Самаре возбудили уголовное дело после строительства ЖК «У парка»,1
В Сургутской области компания ДЭП строит две многоквартирные дома,1
«Нациммбио» не будет строить завод «Киров Плазм»,1
Заказчик попытался возвратить все деньги на несданные,1
"""Вчера руководство компании """"Кока Кола Эйч-Би-си"""", ООО """"Кока Кола Эйч-Би-си"""", было проведено",1
В Новограде введены в эксплуатацию два корпуса «Новограда Павлино»,1
"""Срок осуществления проектов """"НГСК"""" и """"Балтийской газохимической корпорации"""", а также """"Балтийской газохимической корпорации",1
Однако срок сдачи составлял почти 700 суток.,1
Квартиры для детей-сирот и детей-сирот предоставляются в Заре,1
В столице начнут вводить офисную недвижимость,1
Задержка строительных работ может составить более 2 лет,1
Единый реестр проблемных проектов обновляется ежедневно,1
В Москве более 45% новостроек не сдали,1
Текслер назвал усть-катавское руководство виновным в срыве,1
Дания не выдала разрешения на строительство в территориальных водах,1
Ввод ГП-5 в строй из-за нехватки документов,1
Пока ни одна из зданий в эксплуатацию не введена.,1
Задержка - от полутора лет до 2 с половиной,1
В правительстве республики прокомментировали задержку ввода в эксплуатацию объекта,1
"Путин и Медведев договорились о ""прямой линии""",1
В Сургуте перенесен срок ввода перинатального центра,1
Это требует дополнительных финансовых средств и может привести к задержке строительства домов,1
В Петербурге завершили строительство трех заводов сельхозтехники,1
«Гарант» считает задержку строительства в полугодии,1
Сдавать дом обещают в мае,1
В прошлом году стройка почти прекратилась.,1
Запуск двух российских заводов по изготовлению метанола откладывается,1
"Строительство не идет ровно, задержка строительства корпусов достигла полутора",1
Информация относительно задержки сдачи дома Панинский.,1
«Не сдадут в срок ряд проектов»,1
В Москве отложили открытие ЦКАД до 2022 г.,1
В Алтайской области банкротство стало возможным из-за невыполнения обязательств перед правительством,1
БЗС в сотрудничестве с Росатомом и Судостроительной Корпорацией,1
