,sentence,label
0,"Срыв сроков строительства зоопарка оценили в 1 млрд рублей Управление капстроительства намерено взыскать в арбитраже 1 млрд руб. с АО ""РЖДстрой"" в качестве неустойки за срыв срока сдачи первой очереди зоопарка.",1
1,"По данным Генпрокуратуры РФ, в 2014-2018 годах выявили 17 тысяч различных нарушений - хищение бюджетных средств, затягивание сроков строительства, невыплата зарплат и другие факты, происходившие при возведении космодрома.",1
2,"Обвиняли в этом столичный акимат, который сорвал сроки строительства первого и второго пусковых комплексов первой очереди газораспределительных сетей.",1
3,Запуск циклотронного центра ядерной медицины на базе УрФУ откладывается из-за неоконченных пуско-наладочных работ канадского циклотрона TR-24.,1
4,Сроки сдачи объекта несколько раз переносились.,1
5,"Построить последний ее участок - северный обход Твери - планируется не ранее 2021 г. Завершить работы по строительству трассы первоначально планировалось к началу чемпионата мира по футболу 2018 г., но сроки неоднократно переносились.",1
6,"История последнего долгостроя тянулась на протяжении десяти лет, строительство двух других ""заморозили"" ещё три года назад.",1
7,"$CUT$ Поднять эту тему на оперативном совещании в правительстве региона губернатора заставил пример Первомайского района области, где Глеб Никитин побывал с рабочим визитом: муниципалитет Первомайска расторг договор с компанией, срывавшей сроки строительства детского сада.",1
8,"Изначально планировалось ввести дорогу в 2018 году к чемпионату мира по футболу, который проходил в России, однако строители не успевали сдать отчетные документы по части работ, а также столкнулись с археологическими находками в Ленинградской области, что еще на несколько месяцев задержало стройку.",1
9,"С третьим этапом («Рабочая документация и ввод КИСУ в 2018») вышло сложнее: работы были выполнены с нарушением сроков и в ненадлежащем качестве, все недостатки зафиксировали в рекламационных актах.",1
10,"Работы были остановлены, заказчик начал судебную тяжбу, требуя, чтобы генподрядчик вернул все деньги, потраченные на несданный в срок завод.",1
11,"Ликвидация «Киров Плазмы» Завод достроен к сроку не был, хотя в марте 2018 года статус единственного поставщика продлили на 2018-2019 годы.",1
12,"Например, строительство системы Crossrail в Лондоне началось в 2009 году с планом открытия в 2018-м, однако сегодня открытие отложено до 2021 года.",1
13,"Кроме того, в созданном 1 июля 2019 года на базе ЕИСЖС Едином реестре проблемных объектов ежедневно обновляется перечень проектов, ввод в эксплуатацию которых задержан на 6 и более месяцев, либо в отношении застройщика введено конкурсное производство или иная процедура в деле о банкротстве.",1
14,"За срыв сроков капитального ремонта школы № 60, которая находится на проспекте Коммунистическом в Ростове-на-Дону, был оштрафован подрядчик.",1
15,За срыв сроков ремонта школы в Ростове оштрафовали подрядчика,1
16,"Наблюдательный совет ассоциации ""НП Совет рынка"" (регулятора энергорынков в РФ) принял решение, как и месяцем ранее, оштрафовать компании ""Квадра"" и ""Русгидро"" за просрочку ввода в эксплуатацию энергоблока Воронежской ТЭЦ-1 и Зарамагской ГЭС-1 соответственно, говорится в сообщении ассоциации.",1
17,"Стоит отметить, сейчас долгостроем считается любой строящий многоквартирный дом, если срок завершения его строительства нарушен более чем на полгода, передача объекта дольщику просрочена более чем на шесть месяцев или застройщик признан банкротом.",1
18,"""Совет рынка"" снова оштрафовал ""Русгидро"" и ""Квадру"" за просрочку ввода мощностей",1
19,"В пгт Чкаловское за год так и не смогли сдать в эксплуатацию три из четырех миникотельных, потому что на завершение строительства не нашлось 6 млн грн.",1
20,"В судебном документе поясняется со ссылкой на ""Республиканскую службу единого заказчика"", что срок выполнения подрядных работ - до 1 октября 2016 года, ""однако до настоящего времени работы в полном объеме не выполнены, ввод объекта в эксплуатацию не обеспечен"".",1
21,"Никитин привел пример Первомайска, где муниципалитет расторг договор с компанией, которая срывала сроки сдачи объекта Строительство детсада на 80 мест, на которое в рамках нацпроекта ""Демография"" выделили более 70 млн рублей из бюджетов всех уровней, началось почти год назад.",1
22,"Сбор объективной информации и детальный анализ исполнения нацпроектов в муниципальных образованиях области важен для оказания помощи в решении проблемных вопросов, если нарушены сроки сдачи объекта или работа сделана некачественно», – сказал депутат Государственной Думы Иван Квитка по итогам рабочей поездки.",1
23,"Наблюдательный совет «Совета рынка» принял решение, как и месяцем ранее, оштрафовать компании «Квадра» и « РусГидро » за просрочку ввода в эксплуатацию энергоблока Воронежской ТЭЦ-1 и Зарамагской ГЭС-1 соответственно, говорится в сообщении ассоциации.",1
24,"«Нацимбио» не завершила строительство завода «Киров Плазма» к концу 2018 года без привлечения средств федерального бюджета, что было одним из условий для получения статуса поставщика: срок был перенесен на конец 2019 года.",1
25,"Изначально его запуск планировался на конец 2019 года, однако из-за того, что Дания долго не выдавала разрешение на его строительство в своих территориальных водах, начало пуска проекта сдвинулось.",1
26,"Кроме того, в созданном 1 июля 2019 года на базе ЕИСЖС Едином реестре проблемных объектов ежедневно обновляется перечень проектов, ввод в эксплуатацию которых задержан на 6 и более месяцев, либо в отношении застройщика введено конкурсное производство или иная процедура в деле о банкротстве.",1
27,"Отметим, что та же самая компания в данный момент занимается прокладкой труб водовода на улице Бабикова и затягивает сроки сдачи объекта.",1
28,"Компания « Тюмень-Лукойл-Строй » начала строительство здания в 2001 году на средства дольщиков, но строительство так и не было закончено.",1
29,"INTERFAX.RU - ООО ""ВО ""Технопромэкспорт"" обратилось в Минэнерго РФ с просьбой перенести ввод в эксплуатацию двух электростанций в Крыму на март 2019 года.",1
30,"Департамент здравоохранения подал в суд на застройщика, чтобы получить неустойку в 218, 5 миллионов рублей за задержку ввода в эксплуатацию объекта, на строительство которого потрачено более 10 миллиардов рублей.",1
31,"Изначально ввод участков в эксплуатацию был запланирован на 2018 год, однако сроки неоднократно переносили: сначала на 2019 год, а затем на 2020 год.",1
32,"Три раза пожаловались на отсутствие автоматической мойки колес на стройплощадке, восемь обращений поступило на тему высокого уровня шума строительных работ, три касались задержки сроков сдачи объекта, 10 - долевого строительства, шесть – несоблюдения сроков строительства и четыре - отсутствия информационного щита на стройобъекте.",1
33,В декабре 2016 года министр спорта Игорь Белоус был вынужден покинуть свой пост уже при Антоне Алиханове (в ранге и.о. губернатора) – как раз из-за задержки с вводом ФОК в эксплуатацию.,1
34,Вчера руководство ООО «Кока-Кола эйч-би-си Евразия» (дочернее подразделение концерна Coca-Cola) объявило о переносе сроков запуска в эксплуатацию завода безалкогольных напитков в Ростовской области.,1
35,"Ввод домов в эксплуатацию переносили несколько раз, судя по последним изменениям проектной декларации, процедура перенесена с первого на третий квартал 2019 года.",1
36,"Дом обещали сдать в начале 2016 года, но год спустя объект в числе проблемных попал под пристальное наблюдение строительного блока Смольного, а ввели в эксплуатацию комплекс только в августе 2018 года.",1
37,"В Едином реестре застройщиков говорится, что она сдает дома с задержкой сроков ввода до 1,5 года.",1
38,В Пензе проверят факт задержки на 7 месяцев ввода в эксплуатацию лифта в доме № 30а на улице Карпинского.,1
39,"– Степень готовности дома составляет 11%, застройщиком в период с 2006 по 2008 годы привлечены денежные средства граждан в размере 38 млн рублей, говорится в обращении, однако до сих пор дом не введен в эксплуатацию, – отмечает Юрий Пономарев.",1
40,"Нам обещали, что ввод в эксплуатацию будет осуществлен в декабре 2004 года и тогда же мы получим временный ордер.",1
41,"Задержка строительства, таким образом, составит более двух лет.",1
42,"Балтийский завод затягивает сроки строительства атомных ледоколов, необходимых для бесперебойного функционирования Северного морского пути.",1
43,"Счетная палата по итогам проверки Центральной кольцевой автомобильной дороги (ЦКАД) выявила причины, которые привели к срыву сроков ее строительства.",1
44,"Суммарная задержка, таким образом, составит почти три года: строительство было начато в 2011 году и первые покупатели квартир в новостройке рассчитывали поучить ключи ко второму кварталу 2013 года.",1
45,"""Действительно, мы обратились с просьбой о переносе сроков ввода в эксплуатацию на март 2019 года.",1
46,Задержки в возведении жилья коснулись даже таких крупных застройщиков как компания «ООО «Запад».,1
47,"ООО «Инвестиции в будущее» строит дом с отставанием в 9 месяцев по адресу: проезд Северный Власихинский, 112.",1
48,Возможный и допустимый срок задержки ввода в эксплуатацию новостройки составляет 2-3 месяца.,1
49,"Даже крупные компании, на подобии СУ-155 допускают задержки при сдачи дома в эксплуатацию, чего уж говорить о более мелких.",1
50,"Дольщики второй очереди жилого комплекса ""Архимед"" в Сергиевом Посаде пожаловались altgazeta.ru на задержку ввода их дома в эксплуатацию.",1
51,"Прежде всего, необходимо получить достоверные сведения о причинах задержки ввода дома в эксплуатацию.",1
52,"Глава минобрнауки Челябинской области Александр Кузнецов пояснил, что в срыве сроков подготовки школы к 1 сентября виноват, главным образом, строительный подрядчик.",1
53,"- В 2018 года стало ясно, что такими темпами мы дом в срок не сдадим: отставание от графика составило три с половиной месяца.",1
54,"«На данный момент просрочка ввода в эксплуатацию корпусов 2-й очереди Новограда Павлино составляет минимум 6 месяцев, и визуально видно, что работы на некоторых корпусах практически остановлены, – констатирует Роман.",1
55,Однако задержка сроков сдачи составила почти 700 дней.,1
56,"Дольщики второй очереди жилого комплекса ""Архимед"" в Сергиевом Посаде пожаловались altgazeta.ru на задержку ввода их дома в эксплуатацию.",1
57,"«Ряд проектов не сданы в срок, – подтверждает еще один дольщик, Роман Рябов.",1
58,"По данным “Ъ”, строительство атомного ледокола ЛК-60 «Арктика» снова не укладывается в сроки.",1
59,"Согласно материалам дела, просрочка относительно сроков, указанных в договоре долевого строительства, составила 85 дней – дом “Запад-2"" должен был ввести в эксплуатацию до начала 2016 года, а квартиры сдать в апреле текущего года.",1
60,"Напомним, данный застройщик успел помотать нервы и жителям Тюмени, задержав сдачу дома в ЖК «Москва».",1
61,"Информация о задержке сдачи дома ""Панинский"".",1
62,"Из-за задержки ввода дома в эксплуатацию провели проверку и нашли нарушения, которые касаются сроков передачи застройщиком объектов долевого строительства участникам строительства, также не предоставлены ежеквартальные отчетности застройщика.",1
63,"Директор лицея объясняет задержку ремонта бездействием недобросовестных подрядчиков Смоленск, 26 августа.",1
64,"При этом дольщики «Норманна» столкнулись с серьезной задержкой сроков ввода жилых объектов в эксплуатацию, и в конце 2018 года петербургские власти признали строительную компанию проблемной.",1
65,"Как представитель застройщика пояснял дольщикам, задержка сроков строительства связана со смертью основного учредителя и действующего на тот момент генерального директора А. В. Маркова.",1
66,"Однако, все бы казалось ничего, многие застройщики допускают существенные задержки сдачи жилья в эксплуатацию, нарушая договор долевого участия.",1
67,"Предложите застройщику погасить задолженность за просрочку сдачи дома в эксплуатацию в досудебном порядке, на добровольной основе.",1
68,"Как пишет «Коммерсантъ», срок реализации проектов ООО «НГСК» и ООО «Балтийская газохимическая компания» (БГХК) в окрестностях порта Усть-Луга переносится с 2018 на 2019 год.",1
69,"Строительство третьей ВПП стоимостью 35,5 млрд рублей планировалось окончить к прошедшему в 2018 году чемпионату мира по футболу, но затем срок перенесли на 2019 года.",1
70,Но сроки сдачи отдельных участков дороги неоднократно сдвигались.,1
71,Ситуацию с задержкой ввода объекта в эксплуатацию обсудили в четверг на «Образовательном часе» в Правительстве республики.,1
