,transcription,text,label
0,девушка могу ли я открыть индивидуальный пенсионный план,девушка могу ли я открыть индивидуальный пенсионный план,1
1,а вот я хочу открыть индуальный пенсионный план,а вот я хочу открыть индуальный пенсионный план,1
2,какие коэффициенты на индивидуальном пенсионном плане,какие коэффициенты на индивидуальном пенсионном плане,1
3,как открыть индивидуальный пенсионный план,как открыть индивидуальный пенсионный план,1
4,в каком возрасте можно открыть индивидуальный пенсионный план,в каком возрасте можно открыть индивидуальный пенсионный план,1
5,это безопасно,это безопасно,0
6,можно ли открыть индивидуальный пенсионный план по доверенности,можно ли открыть индивидуальный пенсионный план по доверенности,1
7,что такое индивидуальный пенсионный план,что такое индивидуальный пенсионный план,1
8,за счет чего увеличивается накопление,за счет чего увеличивается накопление,0
9,я смогу потом закрыть пенсионный план,я смогу потом закрыть пенсионный план,1
10,ассистент как открыть индивидуальный пенсионный план,ассистент как открыть индивидуальный пенсионный план,1
11,какие планы бывают,какие планы бывают,0
12,как открыть music,как открыть ,0
13,какая нужна документация чтобы открыть индивидуальный пенсионный план,какая нужна документация чтобы открыть индивидуальный пенсионный план,1
14,каковы условия внесения средств на индивидуальный пенсионный план,каковы условия внесения средств на индивидуальный пенсионный план,1
15,здравствуйте в каком возрасте можно открыть индивидуальный пенсионный план,здравствуйте в каком возрасте можно открыть индивидуальный пенсионный план,1
16,как формируется индивидуальный пенсионный план,как формируется индивидуальный пенсионный план,1
17,как открыть индивидуальный пенсионный план,как открыть индивидуальный пенсионный план,1
18,здравствуйте подскажите пожалуйста как открыть индивидуальный пенсионный план,здравствуйте подскажите пожалуйста как открыть индивидуальный пенсионный план,1
19,как открыть индивидуальный пенсионный план,как открыть индивидуальный пенсионный план,1
20,а куда будут обращаться вот насчет индивидуального,а куда будут обращаться вот насчет индивидуального,0
21,а расскажи ка мне как открыть индивидуальный пенсионный план,а расскажи ка мне как открыть индивидуальный пенсионный план,1
22,меня интересуются индивидуальным перевальный планом помогите пожалуйста как открыть счет,меня интересуются индивидуальным перевальный планом помогите пожалуйста как открыть счет,0
23,каков порядок выплаты негосударственной пенсии,каков порядок выплаты негосударственной пенсии,0
24,что нужно для открытия индивидуального пенсионного плана,что нужно для открытия индивидуального пенсионного плана,1
